id;host_id;host_name;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm
509632;2511106;Massimiliano;Pendino;4.085.051;1.426.087;Entire home/apt;$86,00;2;9;15/04/2014;0.07;2;88;0
509633;2511106;Massimiliano;San Lorenzo;408.503;1.425.868;Entire home/apt;$99,00;2;177;13/09/2021;1.31;2;341;0
511491;2298516;Lucio & Clara Pia;Montecalvario;4.084.335;1.424.587;Private room;$40,00;2;63;19/09/2019;0.48;5;0;0
516800;2544761;Fabio;San Lorenzo;4.085.253;1.426.258;Entire home/apt;$55,00;2;738;7/09/2023;6.25;2;273;74
549165;2700392;Gabriele;San Ferdinando;4.083.368;1.425.136;Private room;$199,00;1;1;17/07/2014;0.01;2;32;0
567685;2298516;Lucio & Clara Pia;Montecalvario;4.084.436;142.443;Private room;$80,00;2;83;18/09/2019;0.64;5;0;0
580756;2857025;Leopoldo;San Ferdinando;408.383;1.424.816;Entire home/apt;$70,00;2;41;28/09/2022;0.33;2;291;2
580835;2858275;Roberta;Posillipo;4.080.105;1.419.398;Entire home/apt;$167,00;3;220;29/08/2023;1.64;4;157;21
601952;2977399;Paolo;San Ferdinando;4.083.816;1.425.052;Entire home/apt;$125,00;3;79;8/09/2023;0.58;1;264;15
610129;1409200;Fabrizia;Posillipo;4.080.237;1.418.569;Entire home/apt;$49,00;2;3;5/06/2023;0.12;4;338;2
621782;2857025;Leopoldo;San Ferdinando;4.083.836;1.424.814;Entire home/apt;$90,00;2;128;7/09/2023;1.01;2;336;2
627456;3115107;Maria;Avvocata;4.085.025;1.424.074;Private room;$45,00;2;156;9/09/2023;1.58;1;48;28
630813;2858275;Roberta;Posillipo;4.080.247;141.927;Entire home/apt;$113,00;2;149;8/09/2023;1.11;4;167;17
632412;3146165;Diana;San Lorenzo;4.085.137;1.426.158;Private room;$64,00;2;58;11/09/2023;0.45;6;258;6
634025;3156735;Carmine;Montecalvario;4.084.221;1.424.448;Entire home/apt;$110,00;3;242;4/09/2023;1.81;1;304;31
636005;955394;Stefano;San Ferdinando;4.083.605;1.424.549;Entire home/apt;$83,00;1;12;11/04/2023;0.09;6;321;1
